Product: ProductId = 16; productName: Woman's coat; price: 28.05; amountInStock: 10; catalogue: allClothesForWoman
Product: ProductId = 19; productName: Woman's jeans; price: 15.0; amountInStock: 13; catalogue: allClothesForWoman
Product: ProductId = 9; productName: Men's Underwear; price: 5.0; amountInStock: 35; catalogue: allClothesForMen
Product: ProductId = 26; productName: Woman's bra; price: 11.89; amountInStock: 2; catalogue: allClothesForWoman
Product: ProductId = 36; productName: Children's socks; price: 5.0; amountInStock: 15; catalogue: allClothesForChildren
Product: ProductId = 35; productName: Children's swimwear; price: 10.99; amountInStock: 3; catalogue: allClothesForChildren
Product: ProductId = 1; productName: Men's varezhki; price: 9.0; amountInStock: 5; catalogue: allClothesForMen
Product: ProductId = 18; productName: Woman's cardigan; price: 15.87; amountInStock: 22; catalogue: allClothesForWoman
Product: ProductId = 38; productName: Children's trousers; price: 15.0; amountInStock: 10; catalogue: allClothesForChildren
Product: ProductId = 11; productName: Men's Suit; price: 34.0; amountInStock: 8; catalogue: allClothesForMen
Product: ProductId = 28; productName: Woman's top; price: 17.3; amountInStock: 16; catalogue: allClothesForWoman
Product: ProductId = 39; productName: Children's jacket; price: 50.0; amountInStock: 10; catalogue: allClothesForChildren
Product: ProductId = 24; productName: Woman's blouse; price: 10.26; amountInStock: 11; catalogue: allClothesForWoman
Product: ProductId = 33; productName: Children's jeans; price: 30.0; amountInStock: 10; catalogue: allClothesForChildren
Product: ProductId = 31; productName: Children's t-shirt; price: 15.99; amountInStock: 11; catalogue: allClothesForChildren
Product: ProductId = 46; productName: Men's valenki; price: 55.0; amountInStock: 55; catalogue: allClothesForMen
Product: ProductId = 37; productName: Children's skirt; price: 10.5; amountInStock: 7; catalogue: allClothesForChildren
Product: ProductId = 17; productName: Woman's vest; price: 13.6; amountInStock: 3; catalogue: allClothesForWoman
Product: ProductId = 21; productName: Woman's shorts; price: 8.89; amountInStock: 9; catalogue: allClothesForWoman
Product: ProductId = 25; productName: Woman's skirt; price: 19.5; amountInStock: 4; catalogue: allClothesForWoman
Product: ProductId = 42; productName: Children's jumper; price: 13.5; amountInStock: 17; catalogue: allClothesForChildren
Product: ProductId = 44; productName: Children's shirts; price: 15.99; amountInStock: 12; catalogue: allClothesForChildren
Product: ProductId = 12; productName: Men's Shorts; price: 14.0; amountInStock: 2; catalogue: allClothesForMen
Product: ProductId = 5; productName: Men's T-shirt; price: 7.0; amountInStock: 32; catalogue: allClothesForMen
Product: ProductId = 47; productName: Men's shapka; price: 8.0; amountInStock: 8; catalogue: allClothesForMen
Product: ProductId = 20; productName: Woman's underwear; price: 14.06; amountInStock: 6; catalogue: allClothesForWoman
Product: ProductId = 14; productName: Men's Sportswear; price: 57.0; amountInStock: 4; catalogue: allClothesForMen
Product: ProductId = 6; productName: Men's Sweater; price: 35.0; amountInStock: 8; catalogue: allClothesForMen
Product: ProductId = 22; productName: Woman's dress; price: 21.21; amountInStock: 8; catalogue: allClothesForWoman
Product: ProductId = 8; productName: Men's Scarf; price: 18.0; amountInStock: 4; catalogue: allClothesForMen
Product: ProductId = 43; productName: Children's pijamas; price: 10.99; amountInStock: 4; catalogue: allClothesForChildren
Product: ProductId = 30; productName: Woman's socks; price: 2.0; amountInStock: 5; catalogue: allClothesForWoman
Product: ProductId = 41; productName: Children's longsleeve; price: 16.0; amountInStock: 35; catalogue: allClothesForChildren
Product: ProductId = 10; productName: Men's Blazer; price: 15.0; amountInStock: 13; catalogue: allClothesForMen
Product: ProductId = 27; productName: Woman's panties; price: 6.07; amountInStock: 1; catalogue: allClothesForWoman
Product: ProductId = 45; productName: Children's mono; price: 16.99; amountInStock: 30; catalogue: allClothesForChildren
Product: ProductId = 7; productName: Men's Hoodie; price: 23.0; amountInStock: 12; catalogue: allClothesForMen
Product: ProductId = 23; productName: Woman's robe; price: 18.5; amountInStock: 19; catalogue: allClothesForWoman
Product: ProductId = 34; productName: Children's coat; price: 45.99; amountInStock: 12; catalogue: allClothesForChildren
Product: ProductId = 32; productName: Children's sweater; price: 20.5; amountInStock: 7; catalogue: allClothesForChildren
Product: ProductId = 3; productName: Men's pants; price: 15.0; amountInStock: 4; catalogue: allClothesForMen
Product: ProductId = 40; productName: Children's dress; price: 35.0; amountInStock: 11; catalogue: allClothesForChildren
Product: ProductId = 4; productName: Men's socks; price: 3.0; amountInStock: 30; catalogue: allClothesForMen
Product: ProductId = 29; productName: Woman's swimsuit; price: 22.0; amountInStock: 7; catalogue: allClothesForWoman
Product: ProductId = 15; productName: Men's Tie; price: 13.0; amountInStock: 4; catalogue: allClothesForMen
Product: ProductId = 13; productName: Men's Chinos; price: 15.0; amountInStock: 9; catalogue: allClothesForMen
Product: ProductId = 48; productName: Children's leggins; price: 3.0; amountInStock: 20; catalogue: None
Product: ProductId = 49; productName: Woman's gloves; price: 30.0; amountInStock: 4; catalogue: None
Product: ProductId = 50; productName: Children's hat; price: 2.0; amountInStock: 14; catalogue: None
Product: ProductId = 51; productName: Men's tie; price: 4.0; amountInStock: 10; catalogue: None
